"","matches","treat","s","FIPS","pop","adult_w_a_cnt","white_race","black_race","latino","male","mortAC_20_34","mortAC_35_44","mortAC_45_54","mortAC_55_64","mortAC_20_64","mortACWhite_M","mortACWhite_F","mortACBlack_M","mortACBlack_F","mortACother_M","mortACother_F","mortHC_amenable_not_flu","mortOpioid","mortFlu","a20_34","a35_44","a45_54","a55_64","pctUrban_2010","medIncome_2013","pctPovty_2013","unplmtRate_2013","popDens_2010","smk_tot_2012","pctRep_2012","avgPM25_2011","vetPop_2013","snap_2013","pctNoIns_2013","alc_2012","diabetes_2012","hyper_male_2009","hyper_female_2009","obsty_male_2011","obsty_female_2011","phys_act_male_2011","phys_act_female_2011","calc_multi_house","mdcdExp2","pscore2","mort_all_cause_l1o","mort_all_cause_l2o","mort_dmf","mort_wndr","mort_all_cause_l2","mort_all_cause_l1","mort_wht_wndr","pop.white","mort_hca_wndr","stateName","cntyName"
"1","1.1012",1,0,"17199",39277,39326.8,94.7688685041961,3.8444614463706,1.71411129038013,48.9667365683682,91.7942585143346,221.835118748511,520.256820207656,1085.35751402898,442.954931497096,460.420267137031,280.864034470423,473.587379301564,281.384974347679,257.456755063688,131.397433114272,223.866224794054,27.8869269399404,6.51275695906369,25.0528226941358,16.8057433035095,18.9004158424476,17.19026873174,65.2,44041,16.2,8.9,157.9,22.64,62.72,0.1319,8.61424899886438,19.4519156057618,15.9,7.6,13.61,37.93,39.27,38.04,37.31,58.15,49.36,0.0104403594466609,1,1.51814715328752,164,179,168,146,145,139,142,39101,87,"Illinois","Williamson"
"2","1.1012",1,0,"19061",55473,54573.2,96.2976988899167,2.14124653098982,1.49254162812211,48.769368640148,70.091174762373,121.729854649192,328.480097813767,709.258710918063,284.755154544722,288.161789254134,174.91678735482,728.617045233633,420.243213145285,116.78447903311,133.913847183753,152.165909237229,9.45576983463631,3.9802387516993,26.4358811285846,15.59638066605,19.5472941720629,17.3016882516189,73,51907,12.8,4.5,154,18.75,42.52,0.1161,7.09217634826588,11.5970197602851,9.8,13.6,12.03,34.88,37.01,33.92,34.7,59.14,54.74,0.00347909864582776,1,1.55496521433365,173,152,174,146,124,147,135,57754,91,"Iowa","Dubuque"
"3","1.1012",1,0,"26049",241245,246786.6,78.7690606019697,19.3983955213903,2.45621792526477,47.0634884920627,165.636174063385,249.189712781387,569.656162627743,1109.00562915912,493.705898132232,463.56083389099,280.720655831119,836.305837640483,461.4975094743,272.463201665972,177.914574862628,248.456149442959,32.3814187263873,4.05961484767777,24.7670271232668,17.5130255463099,20.5476566407949,17.6461994883042,83.2,41393,21.7,9.7,668.5,26.15,35.76,0.1218,7.25559493085783,24.2228727706945,14.6,8.6,15.85,40.37,42.07,41.1,46.23,54.04,44.49,0.00205228497787758,1,1.60149042053689,1275,1189,1273,1067,1027,1093,709,198830,637,"Michigan","Genesee"
"4","1.1012",1,0,"27147",20657,20743,96.8936258119802,2.02067345580303,4.65497058125923,49.0118516591558,57.2308998430784,139.057820169156,283.510062846253,540.359133496027,238.152629802825,263.212407358969,142.695999817158,189.151330181471,0,335.560404231531,0,118.932998071517,13.7789141270117,3.2284441941655,24.0751650739485,17.5953909364264,20.553332466201,17.1301999250186,69.4,53932,10.7,4.6,85.1,19.57,53.22,0.1242,7.41807212395448,11.260112436583,8.4,9.6,11.51,33.86,36.01,36.41,35.19,56.81,53.42,0.0160234081092378,1,1.5173723414982,50,57,58,48,51,46,41,20483,26,"Minnesota","Steele"
"5","1.1012",0,0,"42077",209911,207362.6,89.0898214720398,6.95613244963951,15.6096972880244,47.6095805679507,92.8910643608771,162.709493516087,341.382878939653,758.317703593314,311.435138255404,349.139360522618,198.157740209148,354.105573931986,224.728848874027,121.39957105012,65.3754335331346,148.864320252367,25.2681095083884,3.75615344052156,25.0942015463874,17.5045555384059,20.2907865627551,16.7268312573286,92.1,53722,14.2,7.8,1012.6,21.45,46.07,0.1188,6.80668671780834,14.1374629673437,15.8,6.5,13.48,35.68,37.38,34.32,37.3,56.36,51.4,0.00277592299439564,1,1.5278372865412,683,683,703,600,598,590,433,159987,325,"Pennsylvania","Lehigh"
"6","1.1012",1,0,"44003",101254,101811.8,95.6619257378926,1.77489298690956,2.62975337215669,47.1423771838137,98.2486899697979,154.211329370366,405.335617795138,802.289480799244,355.165118385099,386.751369671192,198.865660827837,372.921217189332,247.304466390423,219.962702290448,78.5557445155081,162.582551391001,35.2251903565889,2.6209507235617,22.2979194664278,17.1723346274451,21.5874023194465,18.1225424319347,92,63232,8.1,8.9,985.9,20.73,40.93,0.1027,8.24249401642076,12.2058957190899,12.1,9.5,12.01,36.29,36.99,33.77,33.43,54.53,51.21,0.0039198606271777,1,1.53658830133348,377,370,328,265,297,302,244,100354,145,"Rhode Island","Kent"
"7","1.1012",1,1,"55135",29822,29921.2,98.7562604763279,0.323595095939109,1.82914786624736,50.0346889891578,90.6743747590312,150.589074280624,370.557090310992,911.204333755571,380.332339612048,365.833347382066,210.012233772989,433.315498976313,0,318.528144024727,246.719126323658,171.65732713479,14.2228694663009,5.72519654060702,20.1084727223007,15.8698327332391,21.4534939661415,18.3299657161377,35.1,48056,12.3,7.2,70.1,23.22,54.74,0.1138,10.0774600745912,11.4755666061012,12.8,10.9,12.48,35.45,38.47,36.54,36.8,55.94,56.35,0.00935103796521414,1,1.58500898814037,99,130,112,84,103,76,82,31559,49,"Wisconsin","Waupaca"
"8","1.1043",1,1,"19037",6685,6759,99.3777524594115,0.289213645625644,1.64106833767884,49.725027935409,21.899888791969,154.341828657326,242.842189884147,673.150112741007,278.147654978547,254.597182102812,143.207431919372,0,958.857284432416,0,0,120.251405916977,17.2233483373176,7.97864277117824,19.8812471242961,14.1605135733222,20.8058543853115,19.1976512346355,26.5,50342,10.6,4.7,24.7,22.7,44.38,0.117,7.61301842382924,9.21191461732002,12.8,11.2,12.34,36.29,39.12,36.5,35.48,56.47,51.76,0.0279642058165548,1,0.402008849321229,15,21,13,13,16,NA,13,7206,NA,"Iowa","Chickasaw"
"9","1.1043",0,0,"29053",10413,10460,91.2221768275152,7.75492910859927,1.04559141737407,52.4687154811082,71.1743631116416,266.234929920358,400.65110170281,1070.40623979406,401.529636711281,394.45628952802,274.465261580231,637.561431252419,595.097036507384,0,0,222.805827471808,20.4529198031882,6.76450147991199,27.6438633921951,15.3933451359571,19.288210994598,16.8126863074432,46.8,44397,15.5,6.3,31.2,27.35,66.39,0.0981,7.20802402674676,13.8267127557092,18.1,8.4,14.19,38.27,40.77,37.62,38.62,55.65,48.87,0.031973203410475,0,-0.0847847559403577,44,43,40,32,38,39,28,10122,14,"Missouri","Cooper"
"10","1.1092",1,0,"19127",22505,22654.6,95.5595569749269,1.84344635455596,12.5623428687912,49.7438336617517,106.556695748635,208.255563990078,452.774408545008,969.717004112461,419.340884411996,447.53897914742,215.352433560411,631.421438888222,363.505224607916,533.524308914013,247.956201412126,199.998906290321,14.6665058676107,6.50874490248125,24.1469049398655,15.3339675205545,19.070462730176,18.4161174152341,66.1,51382,13.4,5.9,71,22.35,45.23,0.1084,9.49407230326389,17.3561984680685,15.3,9.5,13.55,35.32,37.62,38.83,39.66,51.2,50.25,0.0254071661237785,1,0.548237246916402,87,101,90,71,79,73,56,18829,43,"Iowa","Marshall"
"11","1.1092",0,0,"23019",93914,94941.2,97.000074595489,0.739343017184088,0.865985813294272,48.5743784839484,91.81910150528,193.548990228901,407.19932801369,886.766821516586,365.700033283759,390.657162993068,226.428407143097,559.245063119398,466.125690784059,311.899314057846,235.213063655634,180.368087327334,18.5798415415844,3.08743120888729,26.944907840664,15.6496249881325,20.0855135560348,17.7993313531622,42.3,43615,15.9,7,45.3,22.99,48.5,0.1015,9.58960381836676,18.8577501890926,16.9,9,13.03,35.82,38.81,36.27,39.56,54.29,56.01,0.00319447993866599,1,0.528287547650704,348,382,326,265,328,301,253,99250,150,"Maine","Penobscot"
"12","1.1169",1,1,"21053",5812,5867.8,98.7866185876346,0.431658463401153,1.90298212828679,49.2774984865633,227.840595751058,281.550683416077,696.564022422877,1382.63549497979,637.376870377313,631.378758707519,397.794872808986,806.311807363623,0,1134.90798108883,0,286.034069595774,87.0918619245992,17.9294509532538,21.8882425709999,16.8399442002474,20.0431658463401,18.4507672465981,0,27443,27.6,9.6,52.1,33.46,82.6,0.1354,7.10624876798738,27.705499704317,25.3,5.7,16.12,40.82,44.33,42.12,46.73,36.07,33.69,0.146464646464646,1,-1.42350100744846,35,48,47,39,38,29,39,6210,22,"Kentucky","Clinton"
