AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.9,0,37,941,96.9%
State,Alabama,All,2019-20,42,4.5,0,46,"1,012",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,"1,000",> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,054",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,099",> 100%
State,Alabama,All,2019-20,47,4.4,3,44,"1,062",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.6,4,59,"1,117",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,117",> 100%
State,Alabama,All,2019-20,52,5.6,2,57,"1,059",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,094",> 100%
State,Alabama,All,2019-20,2,8,9,83,"1,148",> 100%
State,Alabama,All,2019-20,3,6.5,7,63,"1,076",> 100%
State,Alabama,All,2019-20,4,7.1,7,70,"1,085",> 100%
State,Alabama,All,2019-20,5,6.7,16,55,"1,054",> 100%
State,Alabama,All,2019-20,6,6.8,12,64,"1,122",> 100%
State,Alabama,All,2019-20,7,7.9,7,80,"1,102",> 100%
State,Alabama,All,2019-20,8,7.2,5,75,"1,115",> 100%
State,Alabama,All,2019-20,9,7.1,14,70,"1,180",> 100%
State,Alabama,All,2019-20,10,6.9,13,63,"1,097",> 100%
State,Alabama,All,2019-20,11,6.1,7,60,"1,098",> 100%
State,Alabama,All,2019-20,12,7.8,7,78,"1,087",> 100%
State,Alabama,All,2019-20,13,7.2,8,71,"1,092",> 100%
State,Alabama,All,2019-20,14,6.1,4,68,"1,173",> 100%
State,Alabama,All,2019-20,15,8,3,89,"1,144",> 100%
State,Alabama,All,2019-20,16,8.7,0,100,"1,152",> 100%
State,Alabama,All,2019-20,17,7,1,80,"1,149",> 100%
State,Alabama,All,2019-20,18,7.8,2,88,"1,149",> 100%
State,Alabama,All,2019-20,19,8.5,1,100,"1,185",> 100%
State,Alabama,All,2019-20,20,8.3,3,93,"1,156",> 100%
State,Alabama,All,2019-20,21,7.2,0,82,"1,145",> 100%
State,Alabama,All,2019-20,22,9.2,0,102,"1,112",> 100%
State,Alabama,All,2019-20,23,7.9,1,92,"1,176",> 100%
State,Alabama,All,2019-20,24,6.7,0,76,"1,130",> 100%
State,Alabama,All,2019-20,25,7.3,0,79,"1,081",> 100%
State,Alabama,All,2019-20,26,7.2,0,83,"1,149",> 100%
State,Alabama,All,2019-20,27,7.4,1,89,"1,210",> 100%
State,Alabama,All,2019-20,28,7.6,0,95,"1,243",> 100%
State,Alabama,All,2019-20,29,7.9,0,97,"1,228",> 100%
State,Alabama,All,2019-20,30,10.6,0,136,"1,286",> 100%
State,Alabama,All,2019-20,31,12.3,0,154,"1,256",> 100%
State,Alabama,All,2019-20,32,10.5,1,116,"1,111",> 100%
State,Alabama,All,2019-20,33,10.4,0,87,837,86.2%
State,Alabama,All,2019-20,34,4.7,0,16,344,35.4%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
State,Alaska,All,2019-20,1,5.5,1,4,91,> 100%
State,Alaska,All,2019-20,2,3.7,0,4,108,> 100%
State,Alaska,All,2019-20,3,4.9,0,5,103,> 100%
State,Alaska,All,2019-20,4,2,0,2,102,> 100%
State,Alaska,All,2019-20,5,4.4,1,3,91,> 100%
State,Alaska,All,2019-20,6,5.3,1,4,95,> 100%
