"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2018"	"2018"	Suppressed	6639	Suppressed
	"Autauga County, AL"	"01001"	"2019"	"2019"	Suppressed	6809	Suppressed
	"Autauga County, AL"	"01001"	"2020 "	"2020"	Suppressed	7015	Suppressed
	"Baldwin County, AL"	"01003"	"2018"	"2018"	10	35203	Unreliable
	"Baldwin County, AL"	"01003"	"2019"	"2019"	11	37087	Unreliable
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	Suppressed	39258	Suppressed
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	3784	Suppressed
	"Barbour County, AL"	"01005"	"2019"	"2019"	Suppressed	3805	Suppressed
	"Barbour County, AL"	"01005"	"2020 "	"2020"	Suppressed	3884	Suppressed
	"Bibb County, AL"	"01007"	"2018"	"2018"	Suppressed	2905	Suppressed
	"Bibb County, AL"	"01007"	"2019"	"2019"	Suppressed	2898	Suppressed
	"Bibb County, AL"	"01007"	"2020 "	"2020"	Suppressed	2914	Suppressed
	"Blount County, AL"	"01009"	"2018"	"2018"	10	8213	Unreliable
	"Blount County, AL"	"01009"	"2019"	"2019"	Suppressed	8398	Suppressed
	"Blount County, AL"	"01009"	"2020 "	"2020"	Suppressed	8570	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	1244	Suppressed
	"Bullock County, AL"	"01011"	"2019"	"2019"	Suppressed	1289	Suppressed
	"Bullock County, AL"	"01011"	"2020 "	"2020"	Suppressed	1334	Suppressed
	"Butler County, AL"	"01013"	"2018"	"2018"	Suppressed	2902	Suppressed
	"Butler County, AL"	"01013"	"2019"	"2019"	Suppressed	2959	Suppressed
	"Butler County, AL"	"01013"	"2020 "	"2020"	Suppressed	3041	Suppressed
	"Calhoun County, AL"	"01015"	"2018"	"2018"	Suppressed	15748	Suppressed
	"Calhoun County, AL"	"01015"	"2019"	"2019"	Suppressed	16088	Suppressed
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	17	16504	Unreliable
	"Chambers County, AL"	"01017"	"2018"	"2018"	Suppressed	5045	Suppressed
	"Chambers County, AL"	"01017"	"2019"	"2019"	Suppressed	5204	Suppressed
	"Chambers County, AL"	"01017"	"2020 "	"2020"	Suppressed	5257	Suppressed
	"Cherokee County, AL"	"01019"	"2018"	"2018"	Suppressed	4697	Suppressed
	"Cherokee County, AL"	"01019"	"2019"	"2019"	Suppressed	4828	Suppressed
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	Suppressed	5012	Suppressed
	"Chilton County, AL"	"01021"	"2018"	"2018"	Suppressed	5807	Suppressed
	"Chilton County, AL"	"01021"	"2019"	"2019"	Suppressed	5952	Suppressed
	"Chilton County, AL"	"01021"	"2020 "	"2020"	Suppressed	6092	Suppressed
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	2236	Suppressed
	"Choctaw County, AL"	"01023"	"2019"	"2019"	Suppressed	2244	Suppressed
	"Choctaw County, AL"	"01023"	"2020 "	"2020"	Suppressed	2248	Suppressed
	"Clarke County, AL"	"01025"	"2018"	"2018"	Suppressed	3556	Suppressed
	"Clarke County, AL"	"01025"	"2019"	"2019"	Suppressed	3624	Suppressed
	"Clarke County, AL"	"01025"	"2020 "	"2020"	Suppressed	3606	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	Suppressed	2066	Suppressed
	"Clay County, AL"	"01027"	"2019"	"2019"	Suppressed	2086	Suppressed
	"Clay County, AL"	"01027"	"2020 "	"2020"	Suppressed	2093	Suppressed
	"Cleburne County, AL"	"01029"	"2018"	"2018"	Suppressed	2266	Suppressed
	"Cleburne County, AL"	"01029"	"2019"	"2019"	Suppressed	2349	Suppressed
	"Cleburne County, AL"	"01029"	"2020 "	"2020"	Suppressed	2342	Suppressed
	"Coffee County, AL"	"01031"	"2018"	"2018"	Suppressed	6702	Suppressed
	"Coffee County, AL"	"01031"	"2019"	"2019"	Suppressed	6925	Suppressed
	"Coffee County, AL"	"01031"	"2020 "	"2020"	Suppressed	7206	Suppressed
	"Colbert County, AL"	"01033"	"2018"	"2018"	Suppressed	8264	Suppressed
	"Colbert County, AL"	"01033"	"2019"	"2019"	Suppressed	8387	Suppressed
	"Colbert County, AL"	"01033"	"2020 "	"2020"	Suppressed	8642	Suppressed
	"Conecuh County, AL"	"01035"	"2018"	"2018"	Suppressed	2079	Suppressed
	"Conecuh County, AL"	"01035"	"2019"	"2019"	Suppressed	2140	Suppressed
	"Conecuh County, AL"	"01035"	"2020 "	"2020"	Suppressed	2163	Suppressed
	"Coosa County, AL"	"01037"	"2018"	"2018"	Suppressed	1922	Suppressed
	"Coosa County, AL"	"01037"	"2019"	"2019"	Suppressed	1992	Suppressed
	"Coosa County, AL"	"01037"	"2020 "	"2020"	Suppressed	2078	Suppressed
	"Covington County, AL"	"01039"	"2018"	"2018"	Suppressed	5784	Suppressed
	"Covington County, AL"	"01039"	"2019"	"2019"	Suppressed	5904	Suppressed
	"Covington County, AL"	"01039"	"2020 "	"2020"	Suppressed	6032	Suppressed
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	Suppressed	2027	Suppressed
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	Suppressed	2060	Suppressed
	"Crenshaw County, AL"	"01041"	"2020 "	"2020"	Suppressed	2096	Suppressed
	"Cullman County, AL"	"01043"	"2018"	"2018"	Suppressed	12093	Suppressed
	"Cullman County, AL"	"01043"	"2019"	"2019"	10	12294	Unreliable
	"Cullman County, AL"	"01043"	"2020 "	"2020"	Suppressed	12656	Suppressed
	"Dale County, AL"	"01045"	"2018"	"2018"	Suppressed	6355	Suppressed
	"Dale County, AL"	"01045"	"2019"	"2019"	Suppressed	6517	Suppressed
	"Dale County, AL"	"01045"	"2020 "	"2020"	Suppressed	6739	Suppressed
	"Dallas County, AL"	"01047"	"2018"	"2018"	Suppressed	5358	Suppressed
	"Dallas County, AL"	"01047"	"2019"	"2019"	Suppressed	5421	Suppressed
	"Dallas County, AL"	"01047"	"2020 "	"2020"	Suppressed	5494	Suppressed
	"DeKalb County, AL"	"01049"	"2018"	"2018"	Suppressed	9654	Suppressed
	"DeKalb County, AL"	"01049"	"2019"	"2019"	Suppressed	9880	Suppressed
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	Suppressed	10135	Suppressed
	"Elmore County, AL"	"01051"	"2018"	"2018"	Suppressed	9871	Suppressed
	"Elmore County, AL"	"01051"	"2019"	"2019"	Suppressed	10099	Suppressed
	"Elmore County, AL"	"01051"	"2020 "	"2020"	Suppressed	10664	Suppressed
	"Escambia County, AL"	"01053"	"2018"	"2018"	Suppressed	5095	Suppressed
	"Escambia County, AL"	"01053"	"2019"	"2019"	Suppressed	5133	Suppressed
	"Escambia County, AL"	"01053"	"2020 "	"2020"	Suppressed	5166	Suppressed
	"Etowah County, AL"	"01055"	"2018"	"2018"	16	15236	Unreliable
	"Etowah County, AL"	"01055"	"2019"	"2019"	Suppressed	15471	Suppressed
	"Etowah County, AL"	"01055"	"2020 "	"2020"	Suppressed	15766	Suppressed
	"Fayette County, AL"	"01057"	"2018"	"2018"	Suppressed	2685	Suppressed
	"Fayette County, AL"	"01057"	"2019"	"2019"	Suppressed	2750	Suppressed
	"Fayette County, AL"	"01057"	"2020 "	"2020"	Suppressed	2732	Suppressed
	"Franklin County, AL"	"01059"	"2018"	"2018"	Suppressed	4030	Suppressed
	"Franklin County, AL"	"01059"	"2019"	"2019"	Suppressed	4094	Suppressed
	"Franklin County, AL"	"01059"	"2020 "	"2020"	Suppressed	4160	Suppressed
	"Geneva County, AL"	"01061"	"2018"	"2018"	Suppressed	4089	Suppressed
	"Geneva County, AL"	"01061"	"2019"	"2019"	Suppressed	4159	Suppressed
	"Geneva County, AL"	"01061"	"2020 "	"2020"	Suppressed	4310	Suppressed
	"Greene County, AL"	"01063"	"2018"	"2018"	Suppressed	1390	Suppressed
	"Greene County, AL"	"01063"	"2019"	"2019"	Suppressed	1435	Suppressed
	"Greene County, AL"	"01063"	"2020 "	"2020"	Suppressed	1467	Suppressed
	"Hale County, AL"	"01065"	"2018"	"2018"	Suppressed	2124	Suppressed
	"Hale County, AL"	"01065"	"2019"	"2019"	Suppressed	2186	Suppressed
	"Hale County, AL"	"01065"	"2020 "	"2020"	Suppressed	2253	Suppressed
	"Henry County, AL"	"01067"	"2018"	"2018"	Suppressed	3024	Suppressed
	"Henry County, AL"	"01067"	"2019"	"2019"	Suppressed	3117	Suppressed
	"Henry County, AL"	"01067"	"2020 "	"2020"	Suppressed	3181	Suppressed
	"Houston County, AL"	"01069"	"2018"	"2018"	Suppressed	14294	Suppressed
	"Houston County, AL"	"01069"	"2019"	"2019"	Suppressed	14711	Suppressed
	"Houston County, AL"	"01069"	"2020 "	"2020"	Suppressed	15271	Suppressed
