"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	109	22156	492.0	417.7
	"Baldwin County, AL"	"01003"	426	86890	490.3	389.8
	"Barbour County, AL"	"01005"	36	6714	536.2	410.0
	"Bibb County, AL"	"01007"	64	9131	700.9	621.9
	"Blount County, AL"	"01009"	180	26557	677.8	580.4
	"Bullock County, AL"	"01011"	Suppressed	1348	Suppressed	Suppressed
	"Butler County, AL"	"01013"	42	5457	769.7	522.9
	"Calhoun County, AL"	"01015"	330	45174	730.5	593.8
	"Chambers County, AL"	"01017"	72	9962	722.7	545.4
	"Cherokee County, AL"	"01019"	97	12412	781.5	645.8
	"Chilton County, AL"	"01021"	111	18773	591.3	502.4
	"Choctaw County, AL"	"01023"	16	3706	Unreliable	Unreliable
	"Clarke County, AL"	"01025"	33	6594	500.5	408.3
	"Clay County, AL"	"01027"	33	5610	588.2	435.2
	"Cleburne County, AL"	"01029"	57	7142	798.1	643.9
	"Coffee County, AL"	"01031"	82	19334	424.1	362.2
	"Colbert County, AL"	"01033"	147	22625	649.7	532.9
	"Conecuh County, AL"	"01035"	23	3269	703.6	540.2
	"Coosa County, AL"	"01037"	21	3893	539.4	438.3
	"Covington County, AL"	"01039"	116	16120	719.6	589.6
	"Crenshaw County, AL"	"01041"	42	5074	827.7	662.3
	"Cullman County, AL"	"01043"	254	39247	647.2	557.2
	"Dale County, AL"	"01045"	104	18599	559.2	480.0
	"Dallas County, AL"	"01047"	40	6025	663.9	529.3
	"DeKalb County, AL"	"01049"	196	30586	640.8	517.3
	"Elmore County, AL"	"01051"	178	32237	552.2	470.7
	"Escambia County, AL"	"01053"	87	12005	724.7	595.8
	"Etowah County, AL"	"01055"	332	43034	771.5	630.1
	"Fayette County, AL"	"01057"	57	7275	783.5	622.2
	"Franklin County, AL"	"01059"	109	12901	844.9	707.8
	"Geneva County, AL"	"01061"	71	11674	608.2	497.4
	"Greene County, AL"	"01063"	Suppressed	777	Suppressed	Suppressed
	"Hale County, AL"	"01065"	25	3100	806.5	635.5
	"Henry County, AL"	"01067"	27	6081	444.0	360.4
	"Houston County, AL"	"01069"	176	37362	471.1	386.7
	"Jackson County, AL"	"01071"	201	24926	806.4	664.8
	"Jefferson County, AL"	"01073"	1093	183041	597.1	507.9
	"Lamar County, AL"	"01075"	35	6222	562.5	372.9
	"Lauderdale County, AL"	"01077"	217	39742	546.0	440.7
	"Lawrence County, AL"	"01079"	95	14160	670.9	568.1
	"Lee County, AL"	"01081"	206	50118	411.0	381.1
	"Limestone County, AL"	"01083"	183	39084	468.2	401.5
	"Lowndes County, AL"	"01085"	Suppressed	1289	Suppressed	Suppressed
	"Macon County, AL"	"01087"	10	1630	Unreliable	Unreliable
	"Madison County, AL"	"01089"	569	128571	442.6	375.6
	"Marengo County, AL"	"01091"	29	4495	645.2	536.6
	"Marion County, AL"	"01093"	85	14299	594.4	494.1
	"Marshall County, AL"	"01095"	290	40794	710.9	592.2
	"Mobile County, AL"	"01097"	674	128499	524.5	444.5
	"Monroe County, AL"	"01099"	35	6018	581.6	444.8
	"Montgomery County, AL"	"01101"	237	43641	543.1	442.3
	"Morgan County, AL"	"01103"	280	49438	566.4	459.9
	"Perry County, AL"	"01105"	11	1185	Unreliable	Unreliable
	"Pickens County, AL"	"01107"	42	5798	724.4	582.1
	"Pike County, AL"	"01109"	50	8325	600.6	497.3
	"Randolph County, AL"	"01111"	67	8604	778.7	574.3
	"Russell County, AL"	"01113"	85	15866	535.7	484.0
	"St. Clair County, AL"	"01115"	269	40425	665.4	583.3
	"Shelby County, AL"	"01117"	299	89524	334.0	289.0
	"Sumter County, AL"	"01119"	Suppressed	1313	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	194	27510	705.2	567.6
	"Tallapoosa County, AL"	"01123"	87	14574	597.0	498.4
	"Tuscaloosa County, AL"	"01125"	270	62574	431.5	377.5
	"Walker County, AL"	"01127"	272	30593	889.1	766.4
	"Washington County, AL"	"01129"	40	5751	695.5	525.9
	"Wilcox County, AL"	"01131"	11	1459	Unreliable	Unreliable
	"Winston County, AL"	"01133"	73	11885	614.2	483.7
	"Aleutians East Borough, AK"	"02013"	Suppressed	279	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	1226	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	381	110301	345.4	314.6
	"Bethel Census Area, AK"	"02050"	Suppressed	1403	Suppressed	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	320	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1097	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	634	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	130	40601	320.2	301.6
	"Haines Borough, AK"	"02100"	Suppressed	1259	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	641	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	44	13708	321.0	247.2
	"Kenai Peninsula Borough, AK"	"02122"	138	26586	519.1	416.0
	"Ketchikan Gateway Borough, AK"	"02130"	31	5588	554.8	405.4
	"Kodiak Island Borough, AK"	"02150"	16	4400	Unreliable	Unreliable
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	258	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	178	45193	393.9	341.5
	"Nome Census Area, AK"	"02180"	Suppressed	1124	Suppressed	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	2703	Suppressed	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	685	Suppressed	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	1388	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	1939	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	12	3551	Unreliable	Unreliable
	"Skagway Municipality, AK"	"02230"	Suppressed	640	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	14	2962	Unreliable	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	21	4196	500.5	382.4
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	225	Suppressed	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	990	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	171	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	722	Suppressed	Suppressed
	"Apache County, AZ"	"04001"	42	6837	614.3	438.3
	"Cochise County, AZ"	"04003"	207	36407	568.6	435.6
	"Coconino County, AZ"	"04005"	140	38045	368.0	277.7
	"Gila County, AZ"	"04007"	110	15587	705.7	490.8
	"Graham County, AZ"	"04009"	43	9564	449.6	381.7
	"Greenlee County, AZ"	"04011"	Suppressed	2481	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	40	4288	932.8	747.5
	"Maricopa County, AZ"	"04013"	4730	1268226	373.0	313.3
	"Mohave County, AZ"	"04015"	565	76087	742.6	538.5
	"Navajo County, AZ"	"04017"	114	22133	515.1	398.1
	"Pima County, AZ"	"04019"	1346	268459	501.4	397.0
	"Pinal County, AZ"	"04021"	452	116385	388.4	318.6
	"Santa Cruz County, AZ"	"04023"	Suppressed	3349	Suppressed	Suppressed
	"Yavapai County, AZ"	"04025"	525	85937	610.9	461.1
	"Yuma County, AZ"	"04027"	167	28088	594.6	471.1
	"Arkansas County, AR"	"05001"	42	6835	614.5	443.2
	"Ashley County, AR"	"05003"	45	7145	629.8	538.1
	"Baxter County, AR"	"05005"	103	18109	568.8	424.5
	"Benton County, AR"	"05007"	377	97474	386.8	346.8
	"Boone County, AR"	"05009"	97	17682	548.6	477.6
	"Bradley County, AR"	"05011"	23	3158	728.3	597.6
	"Calhoun County, AR"	"05013"	14	2010	Unreliable	Unreliable
	"Carroll County, AR"	"05015"	71	11532	615.7	481.0
	"Chicot County, AR"	"05017"	15	2185	Unreliable	Unreliable
	"Clark County, AR"	"05019"	43	6760	636.1	506.0
	"Clay County, AR"	"05021"	54	7305	739.2	581.5
	"Cleburne County, AR"	"05023"	71	11853	599.0	441.2
	"Cleveland County, AR"	"05025"	19	3626	Unreliable	Unreliable
	"Columbia County, AR"	"05027"	38	6478	586.6	471.9
	"Conway County, AR"	"05029"	54	8937	604.2	508.2
	"Craighead County, AR"	"05031"	208	42448	490.0	439.8
	"Crawford County, AR"	"05033"	152	27944	543.9	460.0
	"Crittenden County, AR"	"05035"	82	11739	698.5	575.4
	"Cross County, AR"	"05037"	35	6451	542.6	466.1
	"Dallas County, AR"	"05039"	16	2067	Unreliable	Unreliable
	"Desha County, AR"	"05041"	25	2861	873.8	680.3
	"Drew County, AR"	"05043"	39	6110	638.3	532.0
	"Faulkner County, AR"	"05045"	215	49730	432.3	389.8
	"Franklin County, AR"	"05047"	69	8367	824.7	696.5
	"Fulton County, AR"	"05049"	34	5638	603.1	463.5
	"Garland County, AR"	"05051"	277	40971	676.1	554.1
	"Grant County, AR"	"05053"	55	8987	612.0	523.1
	"Greene County, AR"	"05055"	143	21649	660.5	580.4
	"Hempstead County, AR"	"05057"	28	6403	437.3	317.5
	"Hot Spring County, AR"	"05059"	97	14854	653.0	534.1
	"Howard County, AR"	"05061"	24	4469	537.0	411.0
	"Independence County, AR"	"05063"	105	17017	617.0	528.8
	"Izard County, AR"	"05065"	49	6346	772.1	579.1
	"Jackson County, AR"	"05067"	45	7541	596.7	499.4
	"Jefferson County, AR"	"05069"	122	15818	771.3	600.2
	"Johnson County, AR"	"05071"	56	10870	515.2	416.4
	"Lafayette County, AR"	"05073"	12	2162	Unreliable	Unreliable
	"Lawrence County, AR"	"05075"	60	7954	754.3	635.8
	"Lee County, AR"	"05077"	16	2316	Unreliable	Unreliable
	"Lincoln County, AR"	"05079"	24	5100	470.6	440.0
	"Little River County, AR"	"05081"	28	4764	587.7	450.2
	"Logan County, AR"	"05083"	79	10284	768.2	626.9
	"Lonoke County, AR"	"05085"	146	33328	438.1	400.7
	"Madison County, AR"	"05087"	43	7443	577.7	474.0
	"Marion County, AR"	"05089"	47	7814	601.5	433.2
	"Miller County, AR"	"05091"	95	16372	580.3	466.5
	"Mississippi County, AR"	"05093"	117	13786	848.7	712.8
	"Monroe County, AR"	"05095"	19	2180	Unreliable	Unreliable
	"Montgomery County, AR"	"05097"	29	4171	695.3	486.9
	"Nevada County, AR"	"05099"	17	2827	Unreliable	Unreliable
	"Newton County, AR"	"05101"	15	3774	Unreliable	Unreliable
	"Ouachita County, AR"	"05103"	48	7154	671.0	523.5
	"Perry County, AR"	"05105"	32	5020	637.5	525.6
	"Phillips County, AR"	"05107"	29	3549	817.1	650.4
	"Pike County, AR"	"05109"	32	4945	647.1	516.1
	"Poinsett County, AR"	"05111"	114	10876	1048.2	917.2
	"Polk County, AR"	"05113"	59	8763	673.3	563.6
	"Pope County, AR"	"05115"	144	26874	535.8	451.6
	"Prairie County, AR"	"05117"	27	3627	744.4	560.3
	"Pulaski County, AR"	"05119"	587	119000	493.3	425.6
	"Randolph County, AR"	"05121"	52	8431	616.8	521.7
	"St. Francis County, AR"	"05123"	33	6143	537.2	439.8
	"Saline County, AR"	"05125"	252	52741	477.8	405.8
	"Scott County, AR"	"05127"	28	4540	616.7	507.7
	"Searcy County, AR"	"05129"	28	3771	742.5	535.4
	"Sebastian County, AR"	"05131"	277	48850	567.0	475.5
	"Sevier County, AR"	"05133"	28	5345	523.9	410.1
	"Sharp County, AR"	"05135"	64	7605	841.6	659.7
	"Stone County, AR"	"05137"	45	5771	779.8	628.7
	"Union County, AR"	"05139"	89	13116	678.6	537.8
	"Van Buren County, AR"	"05141"	41	7845	522.6	370.0
	"Washington County, AR"	"05143"	361	82446	437.9	397.8
	"White County, AR"	"05145"	192	34720	553.0	465.5
	"Woodruff County, AR"	"05147"	19	2386	Unreliable	Unreliable
	"Yell County, AR"	"05149"	64	8579	746.0	614.5
	"Alameda County, CA"	"06001"	962	327365	293.9	238.7
	"Alpine County, CA"	"06003"	Suppressed	402	Suppressed	Suppressed
	"Amador County, CA"	"06005"	76	15483	490.9	387.9
	"Butte County, CA"	"06007"	458	81490	562.0	430.8
	"Calaveras County, CA"	"06009"	88	19080	461.2	306.0
	"Colusa County, CA"	"06011"	20	4180	478.5	353.0
	"Contra Costa County, CA"	"06013"	893	287098	311.0	236.8
	"Del Norte County, CA"	"06015"	63	9765	645.2	487.8
	"El Dorado County, CA"	"06017"	301	79686	377.7	279.7
	"Fresno County, CA"	"06019"	797	162552	490.3	397.6
	"Glenn County, CA"	"06021"	54	7782	693.9	506.4
	"Humboldt County, CA"	"06023"	312	56615	551.1	457.1
	"Imperial County, CA"	"06025"	81	11537	702.1	503.3
	"Inyo County, CA"	"06027"	45	6392	704.0	499.5
	"Kern County, CA"	"06029"	1059	174277	607.7	500.0
	"Kings County, CA"	"06031"	125	28710	435.4	391.5
	"Lake County, CA"	"06033"	182	25174	723.0	555.9
	"Lassen County, CA"	"06035"	51	12303	414.5	326.7
	"Los Angeles County, CA"	"06037"	5340	1625724	328.5	271.6
	"Madera County, CA"	"06039"	144	29842	482.5	361.0
	"Marin County, CA"	"06041"	240	102009	235.3	161.3
	"Mariposa County, CA"	"06043"	45	7683	585.7	486.0
	"Mendocino County, CA"	"06045"	196	31796	616.4	474.9
	"Merced County, CA"	"06047"	219	42258	518.2	401.4
	"Modoc County, CA"	"06049"	20	3567	560.7	373.4
	"Mono County, CA"	"06051"	13	5939	Unreliable	Unreliable
	"Monterey County, CA"	"06053"	288	74195	388.2	296.7
	"Napa County, CA"	"06055"	142	41552	341.7	253.4
	"Nevada County, CA"	"06057"	198	45123	438.8	351.8
	"Orange County, CA"	"06059"	2291	749645	305.6	246.4
	"Placer County, CA"	"06061"	452	146109	309.4	243.5
	"Plumas County, CA"	"06063"	49	8211	596.8	502.5
	"Riverside County, CA"	"06065"	2027	461290	439.4	342.5
	"Sacramento County, CA"	"06067"	1714	400762	427.7	354.7
	"San Benito County, CA"	"06069"	36	12133	296.7	224.3
	"San Bernardino County, CA"	"06071"	1939	364939	531.3	422.1
	"San Diego County, CA"	"06073"	2722	877501	310.2	261.4
	"San Francisco County, CA"	"06075"	569	254895	223.2	246.5
	"San Joaquin County, CA"	"06077"	716	135777	527.3	406.1
	"San Luis Obispo County, CA"	"06079"	369	96892	380.8	298.6
	"San Mateo County, CA"	"06081"	449	176922	253.8	192.4
	"Santa Barbara County, CA"	"06083"	409	101113	404.5	321.2
	"Santa Clara County, CA"	"06085"	1057	371571	284.5	222.3
	"Santa Cruz County, CA"	"06087"	310	87446	354.5	281.4
	"Shasta County, CA"	"06089"	503	76670	656.1	503.9
	"Sierra County, CA"	"06091"	Suppressed	1351	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	125	17664	707.7	539.9
	"Solano County, CA"	"06095"	444	100239	442.9	348.2
	"Sonoma County, CA"	"06097"	650	182682	355.8	264.3
	"Stanislaus County, CA"	"06099"	702	129987	540.1	428.9
	"Sutter County, CA"	"06101"	150	24352	616.0	497.4
	"Tehama County, CA"	"06103"	132	23092	571.6	425.3
	"Trinity County, CA"	"06105"	42	5944	706.6	512.9
	"Tulare County, CA"	"06107"	381	73912	515.5	427.3
	"Tuolumne County, CA"	"06109"	132	22972	574.6	412.4
	"Ventura County, CA"	"06111"	699	219149	319.0	238.1
	"Yolo County, CA"	"06113"	187	52465	356.4	288.9
	"Yuba County, CA"	"06115"	140	23428	597.6	519.4
	"Adams County, CO"	"08001"	611	147959	413.0	371.3
	"Alamosa County, CO"	"08003"	16	3778	Unreliable	Unreliable
	"Arapahoe County, CO"	"08005"	708	224355	315.6	268.6
	"Archuleta County, CO"	"08007"	20	5100	392.2	263.1
	"Baca County, CO"	"08009"	Suppressed	1457	Suppressed	Suppressed
	"Bent County, CO"	"08011"	11	1862	Unreliable	Unreliable
	"Boulder County, CO"	"08013"	320	133189	240.3	201.4
	"Broomfield County, CO"	"08014"	76	27702	274.3	238.1
	"Chaffee County, CO"	"08015"	45	8520	528.2	427.9
	"Cheyenne County, CO"	"08017"	Suppressed	796	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	12	5158	Unreliable	Unreliable
	"Conejos County, CO"	"08021"	Suppressed	1680	Suppressed	Suppressed
	"Costilla County, CO"	"08023"	Suppressed	556	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	1801	Suppressed	Suppressed
	"Custer County, CO"	"08027"	11	2026	Unreliable	Unreliable
	"Delta County, CO"	"08029"	69	12165	567.2	457.5
	"Denver County, CO"	"08031"	730	238927	305.5	325.1
	"Dolores County, CO"	"08033"	Suppressed	935	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	237	147457	160.7	137.2
	"Eagle County, CO"	"08037"	42	23277	180.4	168.1
	"Elbert County, CO"	"08039"	44	12541	350.8	299.9
	"El Paso County, CO"	"08041"	939	256236	366.5	326.9
	"Fremont County, CO"	"08043"	100	19905	502.4	410.3
	"Garfield County, CO"	"08045"	83	23324	355.9	316.5
	"Gilpin County, CO"	"08047"	12	3358	Unreliable	Unreliable
	"Grand County, CO"	"08049"	25	8037	311.1	246.2
	"Gunnison County, CO"	"08051"	14	7420	Unreliable	Unreliable
	"Hinsdale County, CO"	"08053"	Suppressed	364	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	12	1973	Unreliable	Unreliable
	"Jackson County, CO"	"08057"	Suppressed	677	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	794	254982	311.4	255.4
	"Kiowa County, CO"	"08061"	Suppressed	608	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	17	3230	Unreliable	Unreliable
	"Lake County, CO"	"08065"	16	2775	Unreliable	Unreliable
	"La Plata County, CO"	"08067"	84	24864	337.8	262.1
	"Larimer County, CO"	"08069"	430	142300	302.2	255.8
	"Las Animas County, CO"	"08071"	16	3859	Unreliable	Unreliable
	"Lincoln County, CO"	"08073"	Suppressed	2206	Suppressed	Suppressed
	"Logan County, CO"	"08075"	43	9198	467.5	385.3
	"Mesa County, CO"	"08077"	254	63482	400.1	327.7
	"Mineral County, CO"	"08079"	Suppressed	360	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	26	5829	446.0	356.7
	"Montezuma County, CO"	"08083"	40	9986	400.6	285.3
	"Montrose County, CO"	"08085"	77	15763	488.5	382.1
	"Morgan County, CO"	"08087"	34	8763	388.0	349.7
	"Otero County, CO"	"08089"	42	5064	829.4	643.1
	"Ouray County, CO"	"08091"	Suppressed	2284	Suppressed	Suppressed
	"Park County, CO"	"08093"	34	9237	368.1	264.3
	"Phillips County, CO"	"08095"	10	1626	Unreliable	Unreliable
	"Pitkin County, CO"	"08097"	25	9435	265.0	242.7
	"Prowers County, CO"	"08099"	Suppressed	3750	Suppressed	Suppressed
	"Pueblo County, CO"	"08101"	263	45499	578.0	473.6
	"Rio Blanco County, CO"	"08103"	11	2976	Unreliable	Unreliable
	"Rio Grande County, CO"	"08105"	18	3120	Unreliable	Unreliable
	"Routt County, CO"	"08107"	31	13174	235.3	199.2
	"Saguache County, CO"	"08109"	Suppressed	2027	Suppressed	Suppressed
	"San Juan County, CO"	"08111"	Suppressed	371	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	Suppressed	4526	Suppressed	Suppressed
	"Sedgwick County, CO"	"08115"	Suppressed	947	Suppressed	Suppressed
	"Summit County, CO"	"08117"	19	16132	Unreliable	Unreliable
	"Teller County, CO"	"08119"	62	12188	508.7	388.7
	"Washington County, CO"	"08121"	Suppressed	2099	Suppressed	Suppressed
	"Weld County, CO"	"08123"	323	102706	314.5	272.6
	"Yuma County, CO"	"08125"	14	3874	Unreliable	Unreliable
	"Fairfield County, CT"	"09001"	868	322354	269.3	207.0
	"Hartford County, CT"	"09003"	1068	313109	341.1	266.6
	"Litchfield County, CT"	"09005"	344	92073	373.6	288.8
	"Middlesex County, CT"	"09007"	230	77193	298.0	228.7
	"New Haven County, CT"	"09009"	1091	307798	354.5	285.3
	"New London County, CT"	"09011"	443	114335	387.5	302.6
	"Tolland County, CT"	"09013"	220	65624	335.2	264.4
	"Windham County, CT"	"09015"	208	55023	378.0	311.9
	"Kent County, DE"	"10001"	302	57724	523.2	447.8
	"New Castle County, DE"	"10003"	713	182704	390.2	322.5
	"Sussex County, DE"	"10005"	359	79072	454.0	337.1
	"District of Columbia, DC"	"11001"	157	158473	99.1	131.0
	"Alachua County, FL"	"12001"	310	78390	395.5	329.6
	"Baker County, FL"	"12003"	58	11862	489.0	414.3
	"Bay County, FL"	"12005"	492	76637	642.0	541.9
	"Bradford County, FL"	"12007"	72	10590	679.9	535.1
	"Brevard County, FL"	"12009"	1238	220526	561.4	420.3
	"Broward County, FL"	"12011"	1806	405927	444.9	341.2
	"Calhoun County, FL"	"12013"	32	5952	537.6	416.9
	"Charlotte County, FL"	"12015"	372	61675	603.2	450.9
