FIPS,stateFIPS,cntyFIPS,stateName,cntyName,pop_2013,pop_2012,pop_2011,pop_2010,pctUrban_2010,vetPop_2013,vetPop_2012,vetPop_2011,mdcaidElig_2010,mdcaidElig_2011,mdcaidElig_2012,medIncome_2013,medIncome_2012,medIncome_2011,pctPovty_2013,pctPovty_2012,pctPovty_2011,snap_2013,snap_2012,snap_2011,pctNoIns_2013,pctNoIns_2012,pctNoIns_2011,unplmtRate_2013,unplmtRate_2012,unplmtRate_2011,avgPM25_2011,popDens_2010,avgPM25check_2011,avgPM25_2013
01001,01,001,Alabama,Autauga,55246,55514,55267,54571,58,10.94015856351591,10.82249522642937,10.793059149221055,16.571072547690164,17.303273201006025,18.06571315343877,51868,51441,48863,13.5,12.7,14.9,14.580241103428301,14.553085708109666,14.58374798704471,17.4,16.9,18,5.7,6.5,8,12.919999999999998,91.8,11.1,10.5
01003,01,003,Alabama,Baldwin,195540,190790,186717,182265,57.7,10.337526848726604,10.593846637664447,10.815833587729024,15.58609716621403,16.608021765559645,16.884008595838356,47539,48867,50144,14.2,13.9,13.4,12.479288125191777,12.143718224225589,11.88108206537166,22,19.9,20.9,5.8,6.8,8.1,13.13,114.7,9.6,9.1
01005,01,005,Alabama,Barbour,27076,27201,27119,27457,32.2,8.830698773821835,8.84158670637109,8.912570522511892,28.276942127690567,29.31892768907408,29.866549023932944,30981,30287,30117,28.2,29,29.5,24.892894075934407,25.157163339583104,23.839374608208267,22.6,22.8,24.2,10,11.2,11.4,12.620000000000001,31,10.8,10.1
01007,01,007,Alabama,Bibb,22512,22597,22766,22915,31.6,5.845771144278607,5.850334115148029,5.828867609593253,22.710015273838096,24.163225863129227,24.910386334469177,39781,37392,37347,23.1,21.5,22.2,18.545664534470504,18.89188830375714,19.045945708512694,19.1,19.3,20,6.8,7.6,9.9,12.87,36.8,11,10.4
01009,01,009,Alabama,Blount,57872,57826,57677,57322,10,8.326997511750069,8.345726835679452,8.370754373493767,19.413139806705974,20.042651316816062,20.39048179019818,44392,44225,41940,17.2,16.2,14.9,15.615496267625103,16.200325113270846,16.341002479324516,22.3,23.3,22.7,5.6,6.2,8.3,12.66,88.9,11.6,10.8
01011,01,011,Alabama,Bullock,10639,10474,10542,10914,48.6,8.271454084030454,8.354019476799694,8.233731739707835,36.980025655121864,38.27546955036995,38.056139010884095,25937,25854,26038,35.2,32.3,32.8,27.878560015039007,28.861943860989115,29.074179472585847,24.5,23.2,20.8,12,13.4,15.3,12.75,17.5,10.6,9.8
01013,01,013,Alabama,Butler,20265,20307,20650,20947,28.8,9.405378731803603,9.494263061998327,9.438256658595643,32.35785554017282,33.49152542372881,34.20495395676368,31041,30605,30489,28.8,26.3,24.1,26.89859363434493,28.162702516373667,26.89588377723971,20.2,21.6,21,9.3,10.9,11.6,12.819999999999999,27,10.1,9.4
01015,01,015,Alabama,Calhoun,116736,117296,117797,118572,66.3,10.298451206140351,10.334538262174329,10.36444052055655,24.036028742030158,25.265499121369817,26.603635247578776,37898,39212,39060,21.4,21.4,20.9,22.202234100877195,23.023803028236255,22.20005602859156,20.4,19.7,21.3,7.3,7.6,9.2,12.89,195.7,12.2,10.7
01017,01,017,Alabama,Chambers,34162,34064,33939,34215,50.9,9.200281013992155,9.329497416627525,9.452252570788767,27.30381411661552,28.24773858982292,29.29192108971348,33883,32320,33500,22.5,21.5,23.7,22.317194543644987,22.24342414279004,23.400807330799374,21.5,20.5,22.8,7.3,9.3,11.4,12.969999999999999,57.4,11.2,10.1
01019,01,019,Alabama,Cherokee,26203,26021,26057,25989,14.3,8.38835247872381,8.53157065447139,8.600376098553172,23.059756050636807,24.296734082971945,25.102801583336536,37478,37868,34738,20.1,19.6,23.8,20.73808342556196,22.024518658006993,21.763825459569404,20.5,20.9,21.4,5.7,7.1,8.7,12.930000000000001,46.9,11.7,10.1
