FIPS,stateName,cntyName,alc_2010,alc_2011,alc_2012
01001,alabama,autauga,5.8,6.9,6.3
01003,alabama,baldwin,8.7,10.4,9.3
01005,alabama,barbour,6.1,7.4,6.4
01007,alabama,bibb,5,6.1,5.5
01009,alabama,blount,4.6,5.5,5
01011,alabama,bullock,6.5,7.9,7
01013,alabama,butler,5.5,6.9,6
01015,alabama,calhoun,4.7,5.9,5.3
01017,alabama,chambers,6,7.7,7
01019,alabama,cherokee,4.4,5.3,4.8
01021,alabama,chilton,4.5,5.6,5
01023,alabama,choctaw,5,5.6,5.1
01025,alabama,clarke,4.6,5.5,5.1
01027,alabama,clay,4,5.2,4.7
01029,alabama,cleburne,4.9,5.8,5.1
01031,alabama,coffee,6,7.5,6.7
01033,alabama,colbert,4.9,5.8,5.4
01035,alabama,conecuh,6.3,7.6,6.9
01037,alabama,coosa,5.4,6.4,6
01039,alabama,covington,5.9,7.2,6.4
01041,alabama,crenshaw,5.1,6.4,5.6
01043,alabama,cullman,3.6,4.3,3.9
01045,alabama,dale,5.9,7.3,6.5
01047,alabama,dallas,4.8,5.8,5.2
01049,alabama,dekalb,4,4.9,4.6
01051,alabama,elmore,6.5,8,7.1
01053,alabama,escambia,5.6,7,6.2
01055,alabama,etowah,4.9,5.8,5.2
01057,alabama,fayette,3.9,4.9,4.6
01059,alabama,franklin,3.8,4.6,4.1
01061,alabama,geneva,5.8,7.2,6.4
01063,alabama,greene,6.3,7.4,6.7
01065,alabama,hale,5.9,7,6.3
01067,alabama,henry,6,7.4,6.6
01069,alabama,houston,5.7,7.1,6.3
01071,alabama,jackson,4.3,5.2,4.8
01073,alabama,jefferson,6.6,7.8,7.1
01075,alabama,lamar,3.5,4.3,3.9
01077,alabama,lauderdale,4.8,5.9,5.3
01079,alabama,lawrence,3.5,4.2,3.8
01081,alabama,lee,7.5,9.4,8.3
01083,alabama,limestone,4.5,5.4,4.9
01085,alabama,lowndes,6,7.4,6.8
01087,alabama,macon,7,8.5,7.8
01089,alabama,madison,6.3,7.3,6.8
01091,alabama,marengo,5.1,6.2,5.5
01093,alabama,marion,3.8,4.5,4.1
01095,alabama,marshall,5.3,6.3,5.7
01097,alabama,mobile,7.3,8.8,7.7
01099,alabama,monroe,4.5,5.5,5.1
01101,alabama,montgomery,7.7,9.3,8.4
01103,alabama,morgan,5.2,6.1,5.6
01105,alabama,perry,5.8,7.1,6.5
01107,alabama,pickens,4.2,5.1,4.5
01109,alabama,pike,7.1,8.9,7.8
01111,alabama,randolph,5.5,7.1,6.4
01113,alabama,russell,5,6.4,5.5
01117,alabama,shelby,6.9,8.4,7.6
01115,alabama,st. clair,5.2,6.1,5.6
01119,alabama,sumter,6.2,7.1,6.5
01121,alabama,talladega,5.4,6.5,5.9
01123,alabama,tallapoosa,5.6,7.2,6.5
01125,alabama,tuscaloosa,6.7,7.8,7
01127,alabama,walker,3.9,4.7,4.3
01129,alabama,washington,4.3,5.1,4.5
01131,alabama,wilcox,5.9,7.3,6.7
01133,alabama,winston,4.3,5.2,4.7
02013,alaska,aleutians east (b),15.2,15.9,15.5
02016,alaska,aleutians west (ca),13.7,14,13.4
02020,alaska,anchorage (b),8.2,8.8,8.3
02050,alaska,bethel (ca),8,8.5,7.8
02060,alaska,bristol bay (b),13.2,14,13.2
02068,alaska,denali (b),9.5,10.1,9.5
02290,alaska,yukon-koyukuk (ca),9.5,10.1,9.5
02070,alaska,dillingham (ca),9,9.4,9
02090,alaska,fairbanks north star (b),9.5,10,9.2
02100,alaska,haines (b),12.5,13.3,12.4
02105,alaska,hoonah-angoon (ca),13,13.7,12.7
02230,alaska,skagway municipality (b),13,13.7,12.7
02232,alaska,skagway-hoonah-angoon(ca),13,13.7,12.7
02282,alaska,yakutat (b),13,13.7,12.7
02110,alaska,juneau (b),10.4,10.7,10
02122,alaska,kenai peninsula (b),10,10.6,10
02130,alaska,ketchikan gateway (b),11.7,12.2,11.3
02195,alaska,petersburg (b),11.7,12.2,11.3
02198,alaska,prince of wales-hyder(ca),11.7,12.2,11.3
02201,alaska,pr of wales-outrketch(ca),11.7,12.2,11.3
02275,alaska,wrangell (b),11.7,12.2,11.3
02280,alaska,wrangell-petersburg (ca),11.7,12.2,11.3
02150,alaska,kodiak island (b),11.5,12.2,11.6
02164,alaska,lake and peninsula (b),10.2,10.9,10.3
02170,alaska,matanuska-susitna (b),9.3,9.9,9.3
02180,alaska,nome (ca),7.8,8.2,7.6
02185,alaska,north slope (b),9.4,9.9,9.2
02188,alaska,northwest arctic (b),5.6,5.6,5.3
02220,alaska,sitka (b),10.3,11,10.3
02240,alaska,southeast fairbanks (ca),10.1,10.7,10.1
02261,alaska,valdez-cordova (ca),11.4,12.3,11.5
02270,alaska,kusilvak (ca),6.7,7,6.8
04001,arizona,apache,6.7,7.3,7.2
04003,arizona,cochise,8.1,8.8,8.1
04005,arizona,coconino,8.5,9.6,8.5
04007,arizona,gila,9,9.3,8.7
04009,arizona,graham,5.7,6.1,5.5
04011,arizona,greenlee,8.5,9.3,8.5
04012,arizona,la paz,11,12.1,11
04013,arizona,maricopa,8.4,9.2,7.7
04015,arizona,mohave,10.9,11.6,10.7
04017,arizona,navajo,6.2,6.5,6.1
04019,arizona,pima,8.6,9.2,8.4
04021,arizona,pinal,9.7,10.3,9
04023,arizona,santa cruz,8.3,9.3,8.5
04025,arizona,yavapai,9.4,10.3,9.6
04027,arizona,yuma,9.7,10.5,9.7
05001,arkansas,arkansas,5,6.9,6.4
05003,arkansas,ashley,5.1,6,5.3
05005,arkansas,baxter,8.4,9.6,8.7
05007,arkansas,benton,6.4,7.4,6.5
05009,arkansas,boone,5.8,6.9,6.1
05011,arkansas,bradley,4.3,5.1,4.6
05013,arkansas,calhoun,7.3,8.6,7.7
05015,arkansas,carroll,7.2,9,8
