FIPS,stateName,cntyName,Location,cntyName.ihme,cntyName.ihme2,smk_dly_2010,smk_dly_2011,smk_dly_2012,smk_tot_2010,smk_tot_2011,smk_tot_2012,alc_2010,alc_2011,alc_2012,diabetes_2012,diabetes_2011,diabetes_2010,hyper_male_2009,hyper_female_2009,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
01001,alabama,autauga,Autauga County,Autauga County,"Autauga, AL",18.98,19.16,18.41,25.77,25.81,25.1,5.8,6.9,6.3,15.45,15.25,14.95,38.87,41.8,37.1,38.79,52.95,47.53
01003,alabama,baldwin,Baldwin County,Baldwin County,"Baldwin, AL",17.73,16.69,16.02,22.97,21.49,20.9,8.7,10.4,9.3,13.44,13.17,13.04,36.79,39.42,33.47,33.9,54.14,49.62
01005,alabama,barbour,Barbour County,Barbour County,"Barbour, AL",19.21,19.49,18.73,26.83,26.89,26.25,6.1,7.4,6.4,19.36,19.08,18.41,47.63,49.01,41.51,51.62,44.93,35.77
01007,alabama,bibb,Bibb County,Bibb County,"Bibb, AL",22.53,23.49,22.62,30.11,30.18,29.41,5,6.1,5.5,16.68,16.3,16.12,43.28,46.68,40.65,45.2,42.73,37.42
01009,alabama,blount,Blount County,Blount County,"Blount, AL",20.82,20.69,19.88,27.89,27.94,27.17,4.6,5.5,5,15.06,14.74,14.88,40.8,42.8,38.37,41.56,43.13,37.6
01011,alabama,bullock,Bullock County,Bullock County,"Bullock, AL",19.35,19.18,18.49,27.99,27.47,26.84,6.5,7.9,7,23.33,23.02,22.24,51.12,54.04,41.9,56.05,42.98,34.45
01013,alabama,butler,Butler County,Butler County,"Butler, AL",20.87,21.06,20.22,28.27,28.87,28.14,5.5,6.9,6,18.87,18.25,18.57,45.95,48.2,39.81,50.28,47.97,37.43
01015,alabama,calhoun,Calhoun County,Calhoun County,"Calhoun, AL",22,20.73,19.94,28.61,27.1,26.42,4.7,5.9,5.3,16.51,16.2,16.38,43.82,44.68,37.96,41.39,48.67,40.68
01017,alabama,chambers,Chambers County,Chambers County,"Chambers, AL",22.49,21.83,20.96,29.46,28.97,28.18,6,7.7,7,18.45,18.3,18.78,45.28,48.32,40.68,47.68,46.93,34.68
01019,alabama,cherokee,Cherokee County,Cherokee County,"Cherokee, AL",20.27,20.55,19.77,26.06,26.47,25.76,4.4,5.3,4.8,15.27,15.4,14.99,42.8,44.35,39.47,41.72,44.79,40.79
01021,alabama,chilton,Chilton County,Chilton County,"Chilton, AL",22.66,21.93,21.08,28.93,28.38,27.62,4.5,5.6,5,15.56,15.16,15.36,41.52,43.94,41.84,44.26,43.9,38.19
01023,alabama,choctaw,Choctaw County,Choctaw County,"Choctaw, AL",17.09,18.32,17.62,23.24,25.37,24.66,5,5.6,5.1,19.38,19.76,18.9,46.26,48.2,41.25,49.86,43.57,33.55
01025,alabama,clarke,Clarke County,Clarke County,"Clarke, AL",17.93,18.44,17.74,24.25,24.89,24.2,4.6,5.5,5.1,18.72,18.9,18.38,46.44,48.9,41.77,46.61,48.46,37.42
01027,alabama,clay,Clay County,Clay County,"Clay, AL",23.46,23.42,22.55,30.42,29.65,28.87,4,5.2,4.7,15.75,15.32,15.58,41.96,43.83,39.22,45.37,44.07,39.03
01029,alabama,cleburne,Cleburne County,Cleburne County,"Cleburne, AL",23.22,23.7,22.84,29.04,29.23,28.52,4.9,5.8,5.1,15.11,14.76,14.86,41.69,43.16,37.39,41.26,46.38,41.73
01031,alabama,coffee,Coffee County,Coffee County,"Coffee, AL",18.05,17.35,16.66,24.22,23.92,23.26,6,7.5,6.7,15.64,15.43,15.57,41.15,42.28,39.05,39.67,47.78,46.67
01033,alabama,colbert,Colbert County,Colbert County,"Colbert, AL",20.09,19.46,18.69,26.18,25.86,25.16,4.9,5.8,5.4,16.54,16.25,16.1,41.17,44.95,40.23,41.57,51.19,42.06
01035,alabama,conecuh,Conecuh County,Conecuh County,"Conecuh, AL",20.9,20.55,19.82,27.78,28.13,27.43,6.3,7.6,6.9,19.9,19.16,18.8,45.23,47.67,40.58,49.47,44.45,33.5
01037,alabama,coosa,Coosa County,Coosa County,"Coosa, AL",23.2,23.28,22.47,30.39,30.43,29.65,5.4,6.4,6,17.71,17.67,16.87,44.43,47.2,41.58,48.43,45.64,38.4
01039,alabama,covington,Covington County,Covington County,"Covington, AL",22.92,22.26,21.41,29.74,29.24,28.47,5.9,7.2,6.4,15.23,15.27,14.93,41.58,42.37,40.9,40.31,46,40.29
01041,alabama,crenshaw,Crenshaw County,Crenshaw County,"Crenshaw, AL",21.12,21.22,20.37,27.23,28.05,27.32,5.1,6.4,5.6,17.27,16.68,16.85,43.54,45.22,40.62,44.82,47.69,43.81
01043,alabama,cullman,Cullman County,Cullman County,"Cullman, AL",21.3,20.93,20.13,27.61,27.5,26.8,3.6,4.3,3.9,15.03,14.58,14.54,40.28,41.93,37.36,40.48,44.7,41.78
01045,alabama,dale,Dale County,Dale County,"Dale, AL",18.71,18.33,17.57,24.26,24.16,23.49,5.9,7.3,6.5,16.78,16.4,16.1,42.13,43,39.08,44.13,54.97,44.21
01047,alabama,dallas,Dallas County,Dallas County,"Dallas, AL",18.82,18.75,18.02,27.68,27.09,26.39,4.8,5.8,5.2,21.94,21.27,21.24,49.14,53.05,39.99,56.22,44.17,35.47
01049,alabama,dekalb,DeKalb County,DeKalb County,"DeKalb, AL",20.85,21.71,20.89,27.2,28.24,27.46,4,4.9,4.6,16.01,16.06,15.9,41.12,43.46,38.87,40.95,41.87,40.6
01051,alabama,elmore,Elmore County,Elmore County,"Elmore, AL",20.29,19.96,19.18,26.86,26.87,26.15,6.5,8,7.1,15.67,15.24,14.95,40.14,42.78,36.9,39.31,54.88,44.62
01053,alabama,escambia,Escambia County,Escambia County,"Escambia, AL",21.71,21.57,20.77,28.65,28.09,27.42,5.6,7,6.2,17.65,17.13,17.16,43.13,46.37,41.63,44.11,47.88,37.59
01055,alabama,etowah,Etowah County,Etowah County,"Etowah, AL",22.63,21.75,20.92,29.12,28.48,27.76,4.9,5.8,5.2,16.24,15.94,15.61,43.4,43.94,38.11,39.55,48.67,40.93
01057,alabama,fayette,Fayette County,Fayette County,"Fayette, AL",20.7,21.83,21,26.82,27.8,27.04,3.9,4.9,4.6,16.35,15.8,16.59,41.36,45.4,42.35,43.86,44.55,37.58
01059,alabama,franklin,Franklin County,Franklin County,"Franklin, AL",20.47,19.87,19.07,26.9,25.98,25.28,3.8,4.6,4.1,16.23,15.63,15.59,41.11,44.52,38.4,39.11,45.4,38.95
01061,alabama,geneva,Geneva County,Geneva County,"Geneva, AL",21.87,21.77,20.96,28.03,27.91,27.21,5.8,7.2,6.4,15.88,15.82,15.47,41.54,42.89,41.36,43.16,44.58,44.85
01063,alabama,greene,Greene County,Greene County,"Greene, AL",16.22,17.43,16.75,25.12,26.71,25.99,6.3,7.4,6.7,23.7,23.15,22.68,50.85,55.08,43.82,58.03,42.8,32.61
01065,alabama,hale,Hale County,Hale County,"Hale, AL",16.66,18.29,17.6,24.75,26.75,26.06,5.9,7,6.3,20.44,20.19,19.91,47.94,52.4,43.5,55.48,41.15,33.36
01067,alabama,henry,Henry County,Henry County,"Henry, AL",17.66,17.88,17.19,23.78,24.02,23.39,6,7.4,6.6,16.77,16.3,16.2,43.46,45.07,40.8,47.44,50.27,42.83
01069,alabama,houston,Houston County,Houston County,"Houston, AL",18.28,19.08,18.3,24.52,25.52,24.85,5.7,7.1,6.3,15.61,15.22,15.2,41.53,42.88,39.51,41.2,47.81,44.83
