FIPS,cntyName.ihme2,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
01001,"Autauga, AL",37.1,38.79,52.95,47.53
01003,"Baldwin, AL",33.47,33.9,54.14,49.62
01005,"Barbour, AL",41.51,51.62,44.93,35.77
01007,"Bibb, AL",40.65,45.2,42.73,37.42
01009,"Blount, AL",38.37,41.56,43.13,37.6
01011,"Bullock, AL",41.9,56.05,42.98,34.45
01013,"Butler, AL",39.81,50.28,47.97,37.43
01015,"Calhoun, AL",37.96,41.39,48.67,40.68
01017,"Chambers, AL",40.68,47.68,46.93,34.68
01019,"Cherokee, AL",39.47,41.72,44.79,40.79
01021,"Chilton, AL",41.84,44.26,43.9,38.19
01023,"Choctaw, AL",41.25,49.86,43.57,33.55
01025,"Clarke, AL",41.77,46.61,48.46,37.42
01027,"Clay, AL",39.22,45.37,44.07,39.03
01029,"Cleburne, AL",37.39,41.26,46.38,41.73
01031,"Coffee, AL",39.05,39.67,47.78,46.67
01033,"Colbert, AL",40.23,41.57,51.19,42.06
01035,"Conecuh, AL",40.58,49.47,44.45,33.5
01037,"Coosa, AL",41.58,48.43,45.64,38.4
01039,"Covington, AL",40.9,40.31,46,40.29
01041,"Crenshaw, AL",40.62,44.82,47.69,43.81
01043,"Cullman, AL",37.36,40.48,44.7,41.78
01045,"Dale, AL",39.08,44.13,54.97,44.21
01047,"Dallas, AL",39.99,56.22,44.17,35.47
01049,"DeKalb, AL",38.87,40.95,41.87,40.6
01051,"Elmore, AL",36.9,39.31,54.88,44.62
01053,"Escambia, AL",41.63,44.11,47.88,37.59
01055,"Etowah, AL",38.11,39.55,48.67,40.93
01057,"Fayette, AL",42.35,43.86,44.55,37.58
01059,"Franklin, AL",38.4,39.11,45.4,38.95
01061,"Geneva, AL",41.36,43.16,44.58,44.85
01063,"Greene, AL",43.82,58.03,42.8,32.61
01065,"Hale, AL",43.5,55.48,41.15,33.36
01067,"Henry, AL",40.8,47.44,50.27,42.83
01069,"Houston, AL",39.51,41.2,47.81,44.83
01071,"Jackson, AL",37.78,39.83,43.66,39.71
01073,"Jefferson, AL",33.49,43.76,49.76,41.94
01075,"Lamar, AL",40.3,38.32,46.42,38.01
01077,"Lauderdale, AL",34.95,38.85,47.11,42.72
01079,"Lawrence, AL",40.55,46.07,45.36,41.08
01081,"Lee, AL",36.31,39.49,57.87,49.34
01083,"Limestone, AL",39.07,40.91,50.43,41.54
01085,"Lowndes, AL",41.56,55.29,44.74,37.31
01087,"Macon, AL",39.87,53.85,47.96,38.56
01089,"Madison, AL",33.98,38.01,54.32,46.1
01091,"Marengo, AL",41.86,50.59,52.38,36.65
01093,"Marion, AL",38.89,39.15,37.9,34.85
01095,"Marshall, AL",37.24,38.74,41.83,41.24
01097,"Mobile, AL",38.07,42.05,52.52,39.04
01099,"Monroe, AL",38.97,49.73,49.34,37.7
01101,"Montgomery, AL",36.58,45.12,50.68,44.34
01103,"Morgan, AL",38.34,40.37,51.26,44.49
01105,"Perry, AL",42.66,57.36,41.63,32.18
01107,"Pickens, AL",41.8,48.27,46.33,37.52
01109,"Pike, AL",39.03,46.49,49.98,42.33
01111,"Randolph, AL",40.24,43.97,41.26,39.49
01113,"Russell, AL",41.32,48.28,49.5,40.04
01115,"St. Clair, AL",37.66,42.86,47.48,39.43
01117,"Shelby, AL",37.17,32.38,52.88,49.7
01119,"Sumter, AL",41.05,54.78,44.23,34.18
01121,"Talladega, AL",39.97,48.7,46.07,39.59
01123,"Tallapoosa, AL",37.54,45.24,47.14,41.63
