FIPS,stateName,cntyName,smk_dly_2010,smk_dly_2011,smk_dly_2012,smk_tot_2010,smk_tot_2011,smk_tot_2012
01001,alabama,autauga,18.98,19.16,18.41,25.77,25.81,25.1
01003,alabama,baldwin,17.73,16.69,16.02,22.97,21.49,20.9
01005,alabama,barbour,19.21,19.49,18.73,26.83,26.89,26.25
01007,alabama,bibb,22.53,23.49,22.62,30.11,30.18,29.41
01009,alabama,blount,20.82,20.69,19.88,27.89,27.94,27.17
01011,alabama,bullock,19.35,19.18,18.49,27.99,27.47,26.84
01013,alabama,butler,20.87,21.06,20.22,28.27,28.87,28.14
01015,alabama,calhoun,22,20.73,19.94,28.61,27.1,26.42
01017,alabama,chambers,22.49,21.83,20.96,29.46,28.97,28.18
01019,alabama,cherokee,20.27,20.55,19.77,26.06,26.47,25.76
01021,alabama,chilton,22.66,21.93,21.08,28.93,28.38,27.62
01023,alabama,choctaw,17.09,18.32,17.62,23.24,25.37,24.66
01025,alabama,clarke,17.93,18.44,17.74,24.25,24.89,24.2
01027,alabama,clay,23.46,23.42,22.55,30.42,29.65,28.87
01029,alabama,cleburne,23.22,23.7,22.84,29.04,29.23,28.52
01031,alabama,coffee,18.05,17.35,16.66,24.22,23.92,23.26
01033,alabama,colbert,20.09,19.46,18.69,26.18,25.86,25.16
01035,alabama,conecuh,20.9,20.55,19.82,27.78,28.13,27.43
01037,alabama,coosa,23.2,23.28,22.47,30.39,30.43,29.65
01039,alabama,covington,22.92,22.26,21.41,29.74,29.24,28.47
01041,alabama,crenshaw,21.12,21.22,20.37,27.23,28.05,27.32
01043,alabama,cullman,21.3,20.93,20.13,27.61,27.5,26.8
01045,alabama,dale,18.71,18.33,17.57,24.26,24.16,23.49
01047,alabama,dallas,18.82,18.75,18.02,27.68,27.09,26.39
01049,alabama,dekalb,20.85,21.71,20.89,27.2,28.24,27.46
01051,alabama,elmore,20.29,19.96,19.18,26.86,26.87,26.15
01053,alabama,escambia,21.71,21.57,20.77,28.65,28.09,27.42
01055,alabama,etowah,22.63,21.75,20.92,29.12,28.48,27.76
01057,alabama,fayette,20.7,21.83,21,26.82,27.8,27.04
01059,alabama,franklin,20.47,19.87,19.07,26.9,25.98,25.28
01061,alabama,geneva,21.87,21.77,20.96,28.03,27.91,27.21
01063,alabama,greene,16.22,17.43,16.75,25.12,26.71,25.99
01065,alabama,hale,16.66,18.29,17.6,24.75,26.75,26.06
