FIPS,stateFIPS,cntyFIPS,stateName,cntyName
01001,01,001,alabama,autauga
01003,01,003,alabama,baldwin
01005,01,005,alabama,barbour
01007,01,007,alabama,bibb
01009,01,009,alabama,blount
01011,01,011,alabama,bullock
01013,01,013,alabama,butler
01015,01,015,alabama,calhoun
01017,01,017,alabama,chambers
01019,01,019,alabama,cherokee
01021,01,021,alabama,chilton
01023,01,023,alabama,choctaw
01025,01,025,alabama,clarke
01027,01,027,alabama,clay
01029,01,029,alabama,cleburne
01031,01,031,alabama,coffee
01033,01,033,alabama,colbert
01035,01,035,alabama,conecuh
01037,01,037,alabama,coosa
01039,01,039,alabama,covington
01041,01,041,alabama,crenshaw
01043,01,043,alabama,cullman
01045,01,045,alabama,dale
01047,01,047,alabama,dallas
01049,01,049,alabama,dekalb
01051,01,051,alabama,elmore
01053,01,053,alabama,escambia
01055,01,055,alabama,etowah
01057,01,057,alabama,fayette
01059,01,059,alabama,franklin
01061,01,061,alabama,geneva
01063,01,063,alabama,greene
01065,01,065,alabama,hale
01067,01,067,alabama,henry
01069,01,069,alabama,houston
01071,01,071,alabama,jackson
01073,01,073,alabama,jefferson
01075,01,075,alabama,lamar
01077,01,077,alabama,lauderdale
01079,01,079,alabama,lawrence
01081,01,081,alabama,lee
01083,01,083,alabama,limestone
01085,01,085,alabama,lowndes
01087,01,087,alabama,macon
01089,01,089,alabama,madison
01091,01,091,alabama,marengo
01093,01,093,alabama,marion
01095,01,095,alabama,marshall
01097,01,097,alabama,mobile
01099,01,099,alabama,monroe
01101,01,101,alabama,montgomery
01103,01,103,alabama,morgan
01105,01,105,alabama,perry
01107,01,107,alabama,pickens
01109,01,109,alabama,pike
01111,01,111,alabama,randolph
01113,01,113,alabama,russell
01115,01,115,alabama,st. clair
01117,01,117,alabama,shelby
01119,01,119,alabama,sumter
01121,01,121,alabama,talladega
01123,01,123,alabama,tallapoosa
01125,01,125,alabama,tuscaloosa
01127,01,127,alabama,walker
01129,01,129,alabama,washington
01131,01,131,alabama,wilcox
01133,01,133,alabama,winston
02013,02,013,alaska,aleutians east (b)
02016,02,016,alaska,aleutians west (ca)
02020,02,020,alaska,anchorage (b)
02050,02,050,alaska,bethel (ca)
02060,02,060,alaska,bristol bay (b)
02068,02,068,alaska,denali (b)
02070,02,070,alaska,dillingham (ca)
02090,02,090,alaska,fairbanks north star (b)
02100,02,100,alaska,haines (b)
02105,02,105,alaska,hoonah-angoon (ca)
02110,02,110,alaska,juneau (b)
02122,02,122,alaska,kenai peninsula (b)
02130,02,130,alaska,ketchikan gateway (b)
02150,02,150,alaska,kodiak island (b)
02270,02,158,alaska,kusilvak (ca)
02164,02,164,alaska,lake and peninsula (b)
02170,02,170,alaska,matanuska-susitna (b)
02180,02,180,alaska,nome (ca)
02185,02,185,alaska,north slope (b)
02188,02,188,alaska,northwest arctic (b)
02195,02,195,alaska,petersburg (b)
02198,02,198,alaska,prince of wales-hyder(ca)
02201,02,201,alaska,pr of wales-outrketch(ca)
02220,02,220,alaska,sitka (b)
02230,02,230,alaska,skagway municipality (b)
02232,02,232,alaska,skagway-hoonah-angoon(ca)
02240,02,240,alaska,southeast fairbanks (ca)
02261,02,261,alaska,valdez-cordova (ca)
02275,02,275,alaska,wrangell (b)
02280,02,280,alaska,wrangell-petersburg (ca)
02282,02,282,alaska,yakutat (b)
02290,02,290,alaska,yukon-koyukuk (ca)
04001,04,001,arizona,apache
04003,04,003,arizona,cochise
04005,04,005,arizona,coconino
04007,04,007,arizona,gila
04009,04,009,arizona,graham
04011,04,011,arizona,greenlee
04012,04,012,arizona,la paz
04013,04,013,arizona,maricopa
04015,04,015,arizona,mohave
04017,04,017,arizona,navajo
04019,04,019,arizona,pima
04021,04,021,arizona,pinal
04023,04,023,arizona,santa cruz
04025,04,025,arizona,yavapai
04027,04,027,arizona,yuma
05001,05,001,arkansas,arkansas
05003,05,003,arkansas,ashley
05005,05,005,arkansas,baxter
05007,05,007,arkansas,benton
05009,05,009,arkansas,boone
05011,05,011,arkansas,bradley
05013,05,013,arkansas,calhoun
05015,05,015,arkansas,carroll
05017,05,017,arkansas,chicot
05019,05,019,arkansas,clark
05021,05,021,arkansas,clay
05023,05,023,arkansas,cleburne
05025,05,025,arkansas,cleveland
05027,05,027,arkansas,columbia
05029,05,029,arkansas,conway
05031,05,031,arkansas,craighead
05033,05,033,arkansas,crawford
05035,05,035,arkansas,crittenden
05037,05,037,arkansas,cross
05039,05,039,arkansas,dallas
05041,05,041,arkansas,desha
05043,05,043,arkansas,drew
05045,05,045,arkansas,faulkner
05047,05,047,arkansas,franklin
05049,05,049,arkansas,fulton
05051,05,051,arkansas,garland
05053,05,053,arkansas,grant
05055,05,055,arkansas,greene
05057,05,057,arkansas,hempstead
05059,05,059,arkansas,hot spring
05061,05,061,arkansas,howard
05063,05,063,arkansas,independence
05065,05,065,arkansas,izard
05067,05,067,arkansas,jackson
05069,05,069,arkansas,jefferson
05071,05,071,arkansas,johnson
05073,05,073,arkansas,lafayette
05075,05,075,arkansas,lawrence
05077,05,077,arkansas,lee
05079,05,079,arkansas,lincoln
05081,05,081,arkansas,little river
05083,05,083,arkansas,logan
05085,05,085,arkansas,lonoke
05087,05,087,arkansas,madison
05089,05,089,arkansas,marion
05091,05,091,arkansas,miller
05093,05,093,arkansas,mississippi
05095,05,095,arkansas,monroe
05097,05,097,arkansas,montgomery
05099,05,099,arkansas,nevada
05101,05,101,arkansas,newton
05103,05,103,arkansas,ouachita
05105,05,105,arkansas,perry
05107,05,107,arkansas,phillips
05109,05,109,arkansas,pike
05111,05,111,arkansas,poinsett
05113,05,113,arkansas,polk
05115,05,115,arkansas,pope
05117,05,117,arkansas,prairie
05119,05,119,arkansas,pulaski
05121,05,121,arkansas,randolph
05123,05,123,arkansas,st. francis
05125,05,125,arkansas,saline
05127,05,127,arkansas,scott
05129,05,129,arkansas,searcy
05131,05,131,arkansas,sebastian
05133,05,133,arkansas,sevier
05135,05,135,arkansas,sharp
05137,05,137,arkansas,stone
05139,05,139,arkansas,union
05141,05,141,arkansas,van buren
05143,05,143,arkansas,washington
05145,05,145,arkansas,white
05147,05,147,arkansas,woodruff
05149,05,149,arkansas,yell
06001,06,001,california,alameda
06003,06,003,california,alpine
06005,06,005,california,amador
06007,06,007,california,butte
06009,06,009,california,calaveras
06011,06,011,california,colusa
