"","cntyName","stateName","mdcdExp","variable","value","min_dist","adult_w_a_cnt"
"1","Brooks","Texas",0,"latino",89.7424565068906,11.7692480555728,3725.6
"2","Duval","Texas",0,"latino",87.1204289183276,9.1472204670098,6385
"3","Hidalgo","Texas",0,"latino",88.1341177091302,10.1609092578124,416677.8
"4","Jim Hogg","Texas",0,"latino",91.5118336651183,13.5386252138005,2802
"5","Maverick","Texas",0,"latino",95.1696551882224,17.1964467369046,28946.6
"6","Starr","Texas",0,"latino",95.5204318454971,17.5472233941793,32080
"7","Webb","Texas",0,"latino",94.723233011845,16.7500245605272,136788.2
"8","Zapata","Texas",0,"latino",91.1373807694046,13.1641723180868,7324.6
"9","Zavala","Texas",0,"latino",92.2709183937154,14.2977099423976,6293
"10","Pulaski","Georgia",0,"male",40.5460795980431,3.06681197909872,7107.2
"11","Crowley","Colorado",1,"male",74.7442695503319,2.44646372621335,4145
"12","Buffalo","South Dakota",0,"mortAC_45_54",1889.55218660814,579.590086127992,978.2
"13","Woodson","Kansas",0,"mortACBlack_M",14624.8521995697,7058.79899231088,1806.6
"14","Van Buren","Tennessee",0,"mortACBlack_M",9394.15973220505,1828.10652494622,3290.2
"15","Clarke","Iowa",1,"mortACBlack_M",7566.05320725884,1716.11232743095,5186.6
"16","Comanche","Kansas",0,"mortACBlack_F",5912.9532539999,1038.00252081,958.4
"17","Granite","Montana",0,"mortACBlack_F",27199.2686546544,12574.4164550846,1732.4
"18","Blackford","Indiana",0,"mortACother_M",6799.81716366359,1924.86643047368,7160.6
"19","Comanche","Kansas",0,"mortACother_M",7566.05320725884,1963.73036277598,958.4
"20","Jewell","Kansas",0,"mortACother_M",14724.6229580633,5194.83938802849,1594.4
"21","Carter","Montana",0,"mortACother_M",7095.54390479988,2220.59317160998,666.8
"22","Nuckolls","Nebraska",0,"mortACother_M",5674.53990544413,799.589172254226,2289.2
"23","Sanborn","South Dakota",0,"mortACother_M",7566.05320725884,1963.73036277598,1327.8
"24","LaMoure","North Dakota",1,"mortACother_M",9529.78357003482,1963.73036277598,2152.2
"25","Quitman","Georgia",0,"mortACother_F",5439.85373093087,906.642288488479,1328.8
"26","Butte","Idaho",0,"mortACother_F",4874.95073318991,341.739290747514,1460.2
"27","Woodson","Kansas",0,"mortACother_F",3399.90858183179,562.638629109731,1806.6
"28","Amite","Mississippi",0,"mortACother_F",4874.95073318991,341.739290747514,7396.2
"29","Osage","Missouri",0,"mortACother_F",3656.21304989243,818.943097170366,7914
"30","Eddy","North Dakota",1,"mortACother_F",2437.47536659495,348.210766656422,1257
"31","Oliver","North Dakota",1,"mortACother_F",4533.21144244239,341.739290747514,1083.2
"32","Sargent","North Dakota",1,"mortACother_F",2837.26995272206,562.638629109731,2176
"33","Union","Florida",0,"mortHC_amenable_not_flu",629.564876552871,154.72864156272,10330.2
"34","Buffalo","South Dakota",0,"mortHC_amenable_not_flu",684.682373726479,209.846138736328,978.2
"35","Loving","Texas",0,"mortHC_amenable_not_flu",1621.29711584118,1146.46088085103,59.2
"36","Dolores","Colorado",1,"mortOpioid",245.633312573392,26.3593739731511,1145.4
"37","Hinsdale","Colorado",1,"mortOpioid",394.192299342817,122.199612796273,497.6
"38","Logan","Nebraska",0,"mortFlu",200.868669219261,94.6215260370177,423.8
"39","Chattahoochee","Georgia",0,"a20_34",66.6240793626935,13.357070831843,7537.8
